trade_id,entry_time,win,adx,rsi,atr_percentile,band_width_eff,session_london
1,2025-05-01T08:00:00Z,1,22.0,45.0,70.0,2.8,0
2,2025-05-02T10:00:00Z,0,14.0,52.0,35.0,3.1,1
3,2025-05-03T12:00:00Z,1,19.0,48.0,65.0,2.9,0
4,2025-05-04T14:00:00Z,0,12.0,55.0,40.0,3.0,0
5,2025-05-05T09:00:00Z,1,25.0,42.0,72.0,2.7,1
6,2025-05-06T11:00:00Z,0,11.0,60.0,30.0,3.2,0
7,2025-05-07T13:00:00Z,1,21.0,44.0,68.0,2.85,0
8,2025-05-08T15:00:00Z,1,18.0,47.0,66.0,2.9,1
9,2025-05-09T08:00:00Z,0,13.0,58.0,38.0,3.05,0
10,2025-05-10T10:00:00Z,1,24.0,41.0,75.0,2.75,0
11,2025-05-11T12:00:00Z,0,10.0,62.0,28.0,3.15,0
12,2025-05-12T14:00:00Z,1,20.0,46.0,69.0,2.88,1
13,2025-05-13T09:00:00Z,1,23.0,43.0,71.0,2.82,0
14,2025-05-14T11:00:00Z,0,15.0,54.0,42.0,2.98,0
15,2025-05-15T13:00:00Z,1,17.0,49.0,64.0,2.92,0
